Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2013,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2013,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2013,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2013,Alabama,33
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2013,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2013,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2013,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2013,Alabama,27
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2014,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2014,Alabama,17
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2014,Alabama,185
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2014,Alabama,431
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2014,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2014,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2014,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2014,Alabama,40
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2014,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2014,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2014,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2014,Alabama,20
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2015,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2015,Alabama,32
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2015,Alabama,217
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2015,Alabama,407
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2015,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2015,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2015,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2015,Alabama,36
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2015,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2015,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2015,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2015,Alabama,27
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2016,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2016,Alabama,37
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2016,Alabama,262
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2016,Alabama,373
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2016,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2016,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2016,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2016,Alabama,35
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2016,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2016,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2016,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2016,Alabama,16
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2017,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2017,Alabama,65
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2017,Alabama,261
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2017,Alabama,423
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2017,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2017,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2017,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2017,Alabama,40
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2017,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2017,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2017,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2017,Alabama,21
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2018,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2018,Alabama,91
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2018,Alabama,252
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2018,Alabama,339
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2018,Alabama,
